TEAM_ID,TEAM_NAME,YEAR,WIN_PCT,FG_PCT,REB,AST_TOV_RAT,PTS,OPP_PPG,HOME_WIN_PCT,PLAYOFF,TOP3_PPG,TOP3_P14,OFF_BENCH_PPG,BENCH_P30
1610612762,Jazz,2019,0.611,0.471,44.9,1.4834437086092715,111.3,108.8,0.6571428571428571,1,19.770612592863234,1,32.23170731707317,1
1610612762,Jazz,2020,0.722,0.468,48.3,1.6690140845070425,116.4,107.2,0.8611111111111112,1,20.614969992189746,1,43.52439024390244,1
1610612762,Jazz,2021,0.598,0.471,46.3,1.6,113.6,107.6,0.7073170731707317,1,19.99264820640879,1,37.4390243902439,1
1610612762,Jazz,2022,0.451,0.473,45.9,1.6883116883116882,117.1,118.0,0.5609756097560976,0,19.637720015974594,1,30.841463414634145,1
1610612758,Kings,1984,0.378,0.504,42.6,1.4742268041237114,114.8,117.5,0.5609756097560976,0,18.756722951844903,1,40.646341463414636,1
1610612758,Kings,1985,0.451,0.49,42.8,1.502673796791444,108.8,111.9,0.6097560975609756,1,17.530914383217905,1,36.47560975609756,1
1610612758,Kings,1986,0.354,0.475,45.4,1.5555555555555556,110.9,114.1,0.4878048780487805,0,19.278355866071553,1,33.65853658536585,1
1610612758,Kings,1987,0.293,0.471,45.0,1.449438202247191,108.0,113.7,0.4634146341463415,0,18.709672295465378,1,38.53658536585366,1
1610612758,Kings,1988,0.329,0.457,43.8,1.437125748502994,105.5,111.0,0.5121951219512195,0,14.047437061244251,1,26.609756097560975,0
1610612758,Kings,1989,0.28,0.468,40.4,1.6556291390728477,101.7,106.8,0.3902439024390244,0,18.90249116668382,1,22.01219512195122,0
1610612758,Kings,1990,0.305,0.453,39.6,1.567741935483871,96.7,103.5,0.5853658536585366,0,17.475691305003014,1,31.597560975609756,1
1610612758,Kings,1991,0.354,0.466,41.6,1.439759036144578,104.3,110.3,0.5121951219512195,0,18.55090603840604,1,28.426829268292682,0
1610612758,Kings,1992,0.305,0.463,41.7,1.5240963855421683,107.9,111.1,0.3902439024390244,0,17.16102449072817,1,44.80487804878049,1
1610612758,Kings,1993,0.341,0.452,42.3,1.5153374233128831,101.1,106.9,0.4878048780487805,0,18.373776912257927,1,24.902439024390244,0
1610612758,Kings,1994,0.476,0.468,41.4,1.2542372881355932,98.2,99.2,0.6585365853658537,0,17.447980677858727,1,22.71951219512195,0
1610612758,Kings,1995,0.476,0.457,42.2,1.2670454545454546,99.5,102.3,0.6341463414634146,1,16.543526432415323,1,24.378048780487806,0
1610612758,Kings,1996,0.415,0.454,41.5,1.351851851851852,96.4,99.8,0.5365853658536586,0,17.37028806584362,1,25.146341463414632,0
1610612758,Kings,1997,0.329,0.442,41.4,1.4451612903225806,93.1,98.7,0.5121951219512195,0,17.135690329361214,1,29.304878048780488,0
1610612758,Kings,1998,0.54,0.445,45.6,1.3452380952380951,100.2,100.6,0.64,1,15.812063492063492,1,20.353658536585368,0
1610612758,Kings,1999,0.537,0.45,45.0,1.469135802469136,105.0,102.0,0.7317073170731707,1,16.34758807588076,1,37.707317073170735,1
1610612758,Kings,2000,0.671,0.449,45.0,1.516778523489933,101.7,95.9,0.8048780487804879,1,19.93241622574956,1,26.829268292682926,0
1610612758,Kings,2001,0.744,0.467,45.3,1.7318840579710142,104.6,97.0,0.8780487804878049,1,19.805916362371764,1,33.829268292682926,1
1610612758,Kings,2002,0.72,0.464,44.5,1.710344827586207,101.7,95.2,0.8536585365853658,1,19.11702785507491,1,27.9390243902439,0
1610612758,Kings,2003,0.671,0.462,41.2,1.884892086330935,102.8,97.8,0.8292682926829268,1,18.898700190705615,1,28.26829268292683,0
1610612758,Kings,2004,0.61,0.459,42.4,1.870229007633588,103.7,101.6,0.7317073170731707,1,18.47224025974026,1,24.024390243902438,0
1610612758,Kings,2005,0.537,0.454,40.5,1.5273972602739727,98.9,97.3,0.6585365853658537,1,16.11821349753582,1,26.609756097560975,0
1610612758,Kings,2006,0.402,0.45,38.9,1.3904109589041096,101.3,103.1,0.4878048780487805,0,18.71158536585366,1,29.695121951219512,0
